canonical_title,authors,year,primary_key,official_course_relevance,source_url,arxiv_abs_url,arxiv_eprint_url,official_pdf_url,local_folder,merged_tex_path,status
BLT,,,blt,2026 tokenization-data,https://arxiv.org/abs/2412.09871,https://arxiv.org/abs/2412.09871,https://arxiv.org/e-print/2412.09871,https://arxiv.org/e-print/2412.09871,papers/normalized/blt,papers/merged_tex/blt.tex,tex_source
BYT5,,,byt5,2026 tokenization-data,https://arxiv.org/abs/2105.13626,https://arxiv.org/abs/2105.13626,https://arxiv.org/e-print/2105.13626,https://arxiv.org/e-print/2105.13626,papers/normalized/byt5,papers/merged_tex/byt5.tex,tex_source
DCLM,,,dclm_2024,2026 tokenization-data,https://arxiv.org/abs/2406.11794,https://arxiv.org/abs/2406.11794,https://arxiv.org/e-print/2406.11794,https://arxiv.org/e-print/2406.11794,papers/normalized/dclm,papers/merged_tex/dclm.tex,tex_source
Dolma,,,dolma,2026 tokenization-data,https://arxiv.org/abs/2402.00159,https://arxiv.org/abs/2402.00159,https://arxiv.org/e-print/2402.00159,https://arxiv.org/e-print/2402.00159,papers/normalized/dolma,papers/merged_tex/dolma.tex,tex_source
Megabyte,,,megabyte,2026 tokenization-data,https://arxiv.org/pdf/2305.07185.pdf,https://arxiv.org/abs/2305.07185,https://arxiv.org/e-print/2305.07185,https://arxiv.org/e-print/2305.07185,papers/normalized/megabyte,papers/merged_tex/megabyte.tex,tex_source
OpenWebText,,2019,openwebtext,2026 tokenization-data,https://skylion007.github.io/OpenWebTextCorpus/,,,,papers/normalized/openwebtext,,pdf_only
Prediction and Entropy of Printed English,,1950,shannon1950,2026 tokenization-data,https://www.princeton.edu/~wbialek/rome/refs/shannon_51.pdf,,,,papers/normalized/prediction_and_entropy_of_printed_english,,pdf_only
Regmix,,,regmix_2025,2026 tokenization-data,https://arxiv.org/abs/2407.01492,https://arxiv.org/abs/2407.01492,https://arxiv.org/e-print/2407.01492,https://arxiv.org/e-print/2407.01492,papers/normalized/regmix,papers/merged_tex/regmix.tex,tex_source
Sennrich,,,sennrich_2016,2026 tokenization-data,https://arxiv.org/abs/1508.07909,https://arxiv.org/abs/1508.07909,https://arxiv.org/e-print/1508.07909,https://arxiv.org/e-print/1508.07909,papers/normalized/sennrich,papers/merged_tex/sennrich.tex,tex_source
T5,Google,,t5,2026 tokenization-data,https://arxiv.org/pdf/1910.10683.pdf,https://arxiv.org/abs/1910.10683,https://arxiv.org/e-print/1910.10683,https://arxiv.org/e-print/1910.10683,papers/normalized/t5,papers/merged_tex/t5.tex,tex_source
The Pile,EleutherAI,,the_pile,2026 tokenization-data,https://arxiv.org/pdf/2101.00027.pdf,https://arxiv.org/abs/2101.00027,https://arxiv.org/e-print/2101.00027,https://arxiv.org/e-print/2101.00027,papers/normalized/the_pile,papers/merged_tex/the_pile.tex,tex_source
