canonical_title,authors,year,primary_key,official_course_relevance,source_url,arxiv_abs_url,arxiv_eprint_url,official_pdf_url,local_folder,merged_tex_path,status
Moe,Google,,moe_2017,2026 architectures-attention,https://arxiv.org/pdf/1701.06538.pdf,https://arxiv.org/abs/1701.06538,https://arxiv.org/e-print/1701.06538,https://arxiv.org/e-print/1701.06538,papers/normalized/moe,papers/merged_tex/moe.tex,tex_source
Qk Norm,,,qk_norm_2023,2026 architectures-attention,https://arxiv.org/abs/2302.05442,https://arxiv.org/abs/2302.05442,https://arxiv.org/e-print/2302.05442,https://arxiv.org/e-print/2302.05442,papers/normalized/qk_norm,papers/merged_tex/qk_norm.tex,tex_source
Rms Norm,,,rms_norm_2019,2026 architectures-attention,https://arxiv.org/abs/1910.07467,https://arxiv.org/abs/1910.07467,https://arxiv.org/e-print/1910.07467,https://arxiv.org/e-print/1910.07467,papers/normalized/rms_norm,papers/merged_tex/rms_norm.tex,tex_source
ROPE,,,rope_2021,2026 architectures-attention,https://arxiv.org/pdf/2104.09864.pdf,https://arxiv.org/abs/2104.09864,https://arxiv.org/e-print/2104.09864,https://arxiv.org/e-print/2104.09864,papers/normalized/rope,papers/merged_tex/rope.tex,tex_source
Sparse Transformer,OpenAI,,sparse_transformer,2026 architectures-attention,https://arxiv.org/pdf/1904.10509.pdf,https://arxiv.org/abs/1904.10509,https://arxiv.org/e-print/1904.10509,https://arxiv.org/e-print/1904.10509,papers/normalized/sparse_transformer,papers/merged_tex/sparse_transformer.tex,tex_source
SUSKETVER2014,Google,,susketver2014,2026 architectures-attention,https://arxiv.org/pdf/1409.3215.pdf,https://arxiv.org/abs/1409.3215,https://arxiv.org/e-print/1409.3215,https://arxiv.org/e-print/1409.3215,papers/normalized/susketver2014,papers/merged_tex/susketver2014.tex,tex_source
Switch Transformers,Google,,switch_transformers_2021,2026 architectures-attention,https://arxiv.org/abs/2101.03961,https://arxiv.org/abs/2101.03961,https://arxiv.org/e-print/2101.03961,https://arxiv.org/e-print/2101.03961,papers/normalized/switch_transformers,papers/merged_tex/switch_transformers.tex,tex_source
The FLOPs Calculus of Language Model Training,,2022,bahdanau_training_costs,2026 architectures-attention,https://medium.com/@dzmitrybahdanau/the-flops-calculus-of-language-model-training-3b19c1f025e4,,,,papers/normalized/the_flops_calculus_of_language_model_training,,source_unavailable
Transformer,Google,,transformer_2017,2026 architectures-attention,https://arxiv.org/pdf/1706.03762.pdf,https://arxiv.org/abs/1706.03762,https://arxiv.org/e-print/1706.03762,https://arxiv.org/e-print/1706.03762,papers/normalized/transformer,papers/merged_tex/transformer.tex,tex_source
Transformer Math 101,EleutherAI,2023,transformer_math,2026 architectures-attention,https://blog.eleuther.ai/transformer-math/,,,,papers/normalized/transformer_math_101,,pdf_only
